model; shuffled; c; degree; gamma; epsilon; r2; rmse
rbf; False; 0.1; 2; scale; 0.4; 0.5247256109351063; 0.6870417888152432
linear; True; 0.1; 2; scale; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; scale; 0.4; 0.35989473906683633; 0.7409433884402007
rbf; True; 0.1; 2; scale; 0.4; 0.5807471700164968; 0.5996492988355409
linear; False; 0.1; 2; scale; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; scale; 0.4; 0.1433972128613159; 0.9223604848758825
rbf; False; 0.1; 2; scale; 0.4; 0.5247256109351063; 0.6870417888152432
linear; True; 0.1; 2; scale; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; scale; 0.4; 0.35989473906683633; 0.7409433884402007
rbf; True; 0.1; 2; scale; 0.4; 0.5807471700164968; 0.5996492988355409
linear; False; 0.1; 2; scale; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; scale; 0.4; 0.1433972128613159; 0.9223604848758825
rbf; False; 0.1; 2; scale; 0.4; 0.5247256109351063; 0.6870417888152432
linear; True; 0.1; 2; scale; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; scale; 0.4; 0.35989473906683633; 0.7409433884402007
rbf; True; 0.1; 2; scale; 0.4; 0.5807471700164968; 0.5996492988355409
linear; False; 0.1; 2; scale; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; scale; 0.4; 0.1433972128613159; 0.9223604848758825
rbf; False; 0.1; 2; scale; 0.4; 0.5247256109351063; 0.6870417888152432
linear; True; 0.1; 2; scale; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; scale; 0.5; 0.3699443114562756; 0.7351040192502064
rbf; True; 0.1; 2; scale; 0.5; 0.565855499319638; 0.6102060101885881
linear; False; 0.1; 2; scale; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; scale; 0.5; 0.16613960322433707; 0.9100340062483608
rbf; False; 0.1; 2; scale; 0.5; 0.5159643268342022; 0.6933453901847023
linear; True; 0.1; 2; scale; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; scale; 0.5; 0.3699443114562756; 0.7351040192502064
rbf; True; 0.1; 2; scale; 0.5; 0.565855499319638; 0.6102060101885881
linear; False; 0.1; 2; scale; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; scale; 0.5; 0.16613960322433707; 0.9100340062483608
rbf; False; 0.1; 2; scale; 0.5; 0.5159643268342022; 0.6933453901847023
linear; True; 0.1; 2; scale; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; scale; 0.5; 0.3699443114562756; 0.7351040192502064
rbf; True; 0.1; 2; scale; 0.5; 0.565855499319638; 0.6102060101885881
linear; False; 0.1; 2; scale; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; scale; 0.5; 0.16613960322433707; 0.9100340062483608
rbf; False; 0.1; 2; scale; 0.5; 0.5159643268342022; 0.6933453901847023
linear; True; 0.1; 2; scale; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 2; scale; 0.5; 0.3699443114562756; 0.7351040192502064
rbf; True; 0.1; 2; scale; 0.5; 0.565855499319638; 0.6102060101885881
linear; False; 0.1; 2; scale; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 2; scale; 0.5; 0.16613960322433707; 0.9100340062483608
rbf; False; 0.1; 2; scale; 0.5; 0.5159643268342022; 0.6933453901847023
linear; True; 0.1; 2; auto; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; auto; 0.1; 0.3266436157644603; 0.7599444014135729
rbf; True; 0.1; 2; auto; 0.1; 0.5929843270978794; 0.5908332055859145
linear; False; 0.1; 2; auto; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; auto; 0.1; 0.08626483269892393; 0.9526231197231669
rbf; False; 0.1; 2; auto; 0.1; 0.521962105149596; 0.689036312460544
linear; True; 0.1; 2; auto; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; auto; 0.1; 0.3266436157644603; 0.7599444014135729
rbf; True; 0.1; 2; auto; 0.1; 0.5929843270978794; 0.5908332055859145
linear; False; 0.1; 2; auto; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; auto; 0.1; 0.08626483269892393; 0.9526231197231669
rbf; False; 0.1; 2; auto; 0.1; 0.521962105149596; 0.689036312460544
linear; True; 0.1; 2; auto; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; auto; 0.1; 0.3266436157644603; 0.7599444014135729
rbf; True; 0.1; 2; auto; 0.1; 0.5929843270978794; 0.5908332055859145
linear; False; 0.1; 2; auto; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; auto; 0.1; 0.08626483269892393; 0.9526231197231669
rbf; False; 0.1; 2; auto; 0.1; 0.521962105149596; 0.689036312460544
linear; True; 0.1; 2; auto; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; auto; 0.1; 0.3266436157644603; 0.7599444014135729
rbf; True; 0.1; 2; auto; 0.1; 0.5929843270978794; 0.5908332055859145
