model; r2; rmse
linear; 0.5055342240218199; 0.6512195766456582
poly; 0.5588943498281815; 0.6150786311394646
rbf; 0.6927299603318762; 0.5133569393820906
random forest; 0.7098244920717616; 0.49887266200797287
ffnn; 0.19150856321731746; 0.8327162523705358
