model; r2; rmse
linear; 0.41757673067600276; 0.7605544404870797
poly; 0.3495825220387261; 0.8037242071301702
rbf; 0.6221045588606029; 0.6126279033582103
random forest; 0.6003234117162366; 0.6300359079528559
ffnn; 0.18856630059846535; 0.8977129032025813
