model; shuffled; kernel; n_restart_optimizer; alpha; normalize_y; r2; rmse
RF; False; Matern(length_scale=1, nu=1.5); 5; 1e-05; False; 0.5863082754069326; 0.6409872103403581
RF; True; Matern(length_scale=1, nu=1.5); 5; 0.01; True; 0.7516203403803914; 0.4615484986332897
RF; False; Matern(length_scale=1, nu=1.5); 5; 0.01; True; 0.5974398139731638; 0.6323046234877224
RF; True; Matern(length_scale=1, nu=1.5); 5; 0.01; False; 0.7505270796190215; 0.4625631526353054
RF; False; Matern(length_scale=1, nu=1.5); 5; 0.01; False; 0.5974040071514295; 0.6323327438983849
RF; True; Matern(length_scale=1, nu=1.5); 10; 1e-10; True; 0.741320825426002; 0.4710207742922463
RF; False; Matern(length_scale=1, nu=1.5); 10; 1e-10; True; 0.5863326162122467; 0.6409683528512246
RF; True; Matern(length_scale=1, nu=1.5); 10; 1e-10; False; 0.740371521119679; 0.47188426198734357
RF; False; Matern(length_scale=1, nu=1.5); 10; 1e-10; False; 0.586288436802745; 0.6410025794405244
RF; True; Matern(length_scale=1, nu=1.5); 10; 1e-05; True; 0.7413419961203852; 0.4710014993720425
RF; False; Matern(length_scale=1, nu=1.5); 10; 1e-05; True; 0.5863524378263073; 0.640952996093582
RF; True; Matern(length_scale=1, nu=1.5); 10; 1e-05; False; 0.7403921707684963; 0.4718654958679733
RF; False; Matern(length_scale=1, nu=1.5); 10; 1e-05; False; 0.5863082749168704; 0.6409872107200172
RF; True; Matern(length_scale=1, nu=1.5); 10; 0.01; True; 0.7516203420003736; 0.4615484971281335
RF; False; Matern(length_scale=1, nu=1.5); 10; 0.01; True; 0.5974398137039348; 0.6323046236991625
RF; True; Matern(length_scale=1, nu=1.5); 10; 0.01; False; 0.7505270796190215; 0.4625631526353054
RF; False; Matern(length_scale=1, nu=1.5); 10; 0.01; False; 0.5974040071864488; 0.6323327438708836
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-10; True; 0.767342774253458; 0.4467016960156991
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-10; True; 0.6243051067453594; 0.6108415820609496
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-10; False; 0.7669716768137786; 0.4470578074699279
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-10; False; 0.624304336048801; 0.6108422085976316
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-05; True; 0.7673544431337963; 0.44669049375455994
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-05; True; 0.6242850352444416; 0.6108578989497937
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-05; False; 0.7669827947574515; 0.4470471426229679
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 0; 1e-05; False; 0.6242843027051417; 0.610858494450694
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 0; 0.01; True; 0.7718114262850732; 0.4423909924693006
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 0; 0.01; True; 0.6196428159161518; 0.6146201002690121
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 0; 0.01; False; 0.7713075434003729; 0.4428791639912312
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 0; 0.01; False; 0.6196500796719109; 0.6146142314806802
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-10; True; 0.7673427739802833; 0.4467016962779467
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-10; True; 0.6243051126875917; 0.6108415772302178
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-10; False; 0.7669716768137786; 0.4470578074699279
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-10; False; 0.6243043447584936; 0.6108422015171028
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-05; True; 0.7673544431030672; 0.44669049378406056
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-05; True; 0.6242850407135805; 0.6108578945037813
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-05; False; 0.7669827953506356; 0.44704714205395135
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 5; 1e-05; False; 0.624284333440011; 0.6108584694655036
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 5; 0.01; True; 0.7718114262850732; 0.4423909924693006
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 5; 0.01; True; 0.6196428159161518; 0.6146201002690121
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 5; 0.01; False; 0.7713075444884667; 0.44287916293764573
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 5; 0.01; False; 0.6196500796719109; 0.6146142314806802
RF; True; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-10; True; 0.767342774253458; 0.4467016960156991
RF; False; RationalQuadratic(alpha=0.1, length_scale=1); 10; 1e-10; True; 0.6243051122671943; 0.6108415775719794
