model; shuffled; c; gamma; epsilon; r2; rmse
poly; False; 1; scale; 0.3; 0.3539192558014672; 0.8010402637162969
rbf; False; 1; scale; 0.3; 0.6307395428076711; 0.6055881228149477
linear; True; 1; scale; 0.5; 0.5333190185053475; 0.6326585477319281
poly; True; 1; scale; 0.5; 0.5625073044564226; 0.6125544962138469
rbf; True; 1; scale; 0.5; 0.6820724782558228; 0.5221837961801701
linear; False; 1; scale; 0.5; 0.4730262771465218; 0.7234448466729103
poly; False; 1; scale; 0.5; 0.36939128370320906; 0.7913906811548506
rbf; False; 1; scale; 0.5; 0.6212230458669505; 0.6133420227004002
linear; True; 1; auto; 0.1; 0.5055342240218199; 0.6512195766456582
poly; True; 1; auto; 0.1; 0.5589352547920332; 0.6150501114951641
rbf; True; 1; auto; 0.1; 0.6928764617449479; 0.5132345446252145
linear; False; 1; auto; 0.1; 0.41757673067600276; 0.7605544404870797
poly; False; 1; auto; 0.1; 0.3546574416778451; 0.8005825147316681
rbf; False; 1; auto; 0.1; 0.6225180554312266; 0.6122926401562954
linear; True; 1; auto; 0.3; 0.5247551597207794; 0.6384369791675565
poly; True; 1; auto; 0.3; 0.589603860835282; 0.5932817129290482
rbf; True; 1; auto; 0.3; 0.6995283307595802; 0.5076461462625079
linear; False; 1; auto; 0.3; 0.4477225530653842; 0.740610050953417
poly; False; 1; auto; 0.3; 0.3515074655682332; 0.8025339945672373
rbf; False; 1; auto; 0.3; 0.629016158834019; 0.6069996549126194
linear; True; 1; auto; 0.5; 0.5333190185053475; 0.6326585477319281
poly; True; 1; auto; 0.5; 0.5608371901194977; 0.6137225860631418
rbf; True; 1; auto; 0.5; 0.6821283816436491; 0.5221378845735278
linear; False; 1; auto; 0.5; 0.4730262771465218; 0.7234448466729103
poly; False; 1; auto; 0.5; 0.36292352458177723; 0.7954387276416511
rbf; False; 1; auto; 0.5; 0.6206991890290765; 0.613766008892512
linear; True; 1; 0.01; 0.1; 0.5055342240218199; 0.6512195766456582
poly; True; 1; 0.01; 0.1; 0.2118480066446763; 0.8221750964669644
rbf; True; 1; 0.01; 0.1; 0.6300820946692762; 0.5632640135232337
linear; False; 1; 0.01; 0.1; 0.41757673067600276; 0.7605544404870797
poly; False; 1; 0.01; 0.1; 0.06458682480763434; 0.9638571840041946
rbf; False; 1; 0.01; 0.1; 0.5473639790823601; 0.6704794996020021
linear; True; 1; 0.01; 0.3; 0.5247551597207794; 0.6384369791675565
poly; True; 1; 0.01; 0.3; 0.22787471793730885; 0.8137728855197631
rbf; True; 1; 0.01; 0.3; 0.6329939736045982; 0.5610427137972009
linear; False; 1; 0.01; 0.3; 0.4477225530653842; 0.740610050953417
poly; False; 1; 0.01; 0.3; 0.08604716060772433; 0.9527365810006102
rbf; False; 1; 0.01; 0.3; 0.5525398983185276; 0.6666349914128237
linear; True; 1; 0.01; 0.5; 0.5333190185053475; 0.6326585477319281
poly; True; 1; 0.01; 0.5; 0.23968755046337942; 0.8075238904012358
rbf; True; 1; 0.01; 0.5; 0.6328743712024887; 0.5611341245444412
linear; False; 1; 0.01; 0.5; 0.4730262771465218; 0.7234448466729103
poly; False; 1; 0.01; 0.5; 0.10975988398216119; 0.9402958679986797
rbf; False; 1; 0.01; 0.5; 0.554128673698597; 0.6654504443613325
linear; True; 1; 0.001; 0.1; 0.5055342240218199; 0.6512195766456582
poly; True; 1; 0.001; 0.1; -0.09356166698974833; 0.968458394596277
rbf; True; 1; 0.001; 0.1; 0.49640232467966405; 0.6572054967435196
linear; False; 1; 0.001; 0.1; 0.41757673067600276; 0.7605544404870797
poly; False; 1; 0.001; 0.1; -0.0695702323180154; 1.0306604264611499
rbf; False; 1; 0.001; 0.1; 0.3923406304290691; 0.7768569344733962
linear; True; 1; 0.001; 0.3; 0.5247551597207794; 0.6384369791675565
poly; True; 1; 0.001; 0.3; -0.06319345314818303; 0.9549166716331488
rbf; True; 1; 0.001; 0.3; 0.5074271316455001; 0.6499718861329524
linear; False; 1; 0.001; 0.3; 0.4477225530653842; 0.740610050953417
